map_file,startposition,route_length_m,turns,uturns,E_gesamt_J,scanned_forest_rate,duration_sec,temp_mean_C
map_random_1.json,0,113101.29,986,52,2659498.3,0.381385,1241.754,37.8
map_random_1.json,1,112716.43,995,51,2652351.5,0.388726,1236.363,38.6
map_random_1.json,2,117014.6,977,43,2742621.1,0.373584,1312.398,38.1
map_random_1.json,3,109066.36,943,47,2562810.0,0.380945,1161.729,37.3
map_random_1.json,4,105823.13,998,55,2501853.9,0.385641,1097.834,38.1
map_random_2.json,0,108901.8,960,48,2562159.7,0.394039,1136.377,38.35
map_random_2.json,1,110535.48,896,40,2586220.5,0.384154,1236.423,37.85
map_random_2.json,2,111250.33,948,40,2610527.3,0.398693,1205.72,37.6
map_random_2.json,3,105222.1,927,48,2475761.1,0.389715,1041.277,38.9
map_random_2.json,4,112563.42,996,49,2648820.2,0.374962,1236.299,38.6
map_random_3.json,0,109358.2,893,44,2560485.4,0.404607,1232.225,38.9
map_random_3.json,1,110422.18,881,34,2580262.9,0.393647,1210.721,38.4
map_random_3.json,2,109040.78,914,38,2555977.1,0.405319,1181.952,38.4
map_random_3.json,3,115315.26,926,37,2695830.6,0.390066,1371.439,38.65
map_random_3.json,4,112260.77,892,37,2623021.9,0.388775,1313.606,38.1
map_californien.json,0,36186.46,168,6,824812.1,0.266417,111.546,37.85
map_californien.json,1,36561.23,183,6,835532.1,0.24251,109.731,37.6
map_californien.json,2,35094.18,160,7,799627.0,0.266743,106.408,37.6
map_californien.json,3,29821.83,169,6,684955.2,0.292891,102.423,37.8
map_californien.json,4,29746.39,174,8,684450.5,0.292567,104.57,38.6
map_elk_fire_Colorado.json,0,86640.64,427,20,1979849.1,0.632198,325.929,38.35
map_elk_fire_Colorado.json,1,88611.6,399,16,2017930.1,0.615435,328.989,38.6
map_elk_fire_Colorado.json,2,88804.91,416,26,2026638.0,0.61973,335.61,37.3
map_elk_fire_Colorado.json,3,87847.56,410,27,2004751.2,0.623017,338.762,37.3
map_elk_fire_Colorado.json,4,86842.48,394,17,1978349.6,0.591623,345.869,37.6
map_havel.json,0,142973.58,507,19,3232208.7,0.902756,1031.114,37.85
map_havel.json,1,131077.04,397,13,2951344.9,0.900708,926.976,38.1
map_havel.json,2,132323.73,402,19,2980587.0,0.881744,959.796,38.35
map_havel.json,3,129601.89,419,21,2923841.6,0.887023,904.969,38.65
map_havel.json,4,131017.56,408,11,2951521.2,0.863612,943.345,38.35
map_Kreta_1.json,0,127901.15,398,19,2882630.3,0.8203,783.031,38.4
map_Kreta_1.json,1,130632.4,417,14,2945027.8,0.799035,767.592,38.1
map_Kreta_1.json,2,138200.41,432,21,3115154.0,0.763864,754.68,37.3
map_Kreta_1.json,3,135083.94,454,17,3049561.8,0.766668,782.658,37.3
map_Kreta_1.json,4,132833.94,412,15,2992801.8,0.78301,799.611,37.8
map_Kreta_2.json,0,47659.98,195,11,1082509.6,0.498516,163.933,38.1
map_Kreta_2.json,1,45182.41,218,11,1031798.0,0.502227,161.351,37.6
map_Kreta_2.json,2,41385.35,206,9,945952.8,0.458763,156.683,37.85
map_Kreta_2.json,3,43644.4,185,13,992846.8,0.468799,161.161,37.55
map_Kreta_2.json,4,48227.7,245,9,1102919.4,0.536174,168.516,37.05
map_lee_fire_Colorado.json,0,133711.01,546,30,3036682.2,0.784646,560.866,38.1
map_lee_fire_Colorado.json,1,137510.87,555,25,3120939.0,0.778631,569.813,37.8
map_lee_fire_Colorado.json,2,144982.18,619,28,3296362.9,0.781149,568.107,37.55
map_lee_fire_Colorado.json,3,138587.18,571,24,3147093.0,0.789955,582.337,38.4
map_lee_fire_Colorado.json,4,139341.81,550,30,3161219.9,0.769634,556.622,38.1
map_Missen_Wilhams.json,0,87379.25,350,17,1982898.5,0.75335,582.921,38.35
map_Missen_Wilhams.json,1,88270.21,360,19,2004479.5,0.775313,600.523,38.9
map_Missen_Wilhams.json,2,92871.75,353,12,2103403.5,0.730572,606.656,38.6
map_Missen_Wilhams.json,3,92157.11,376,12,2091476.4,0.702617,609.864,38.1
map_Missen_Wilhams.json,4,93654.61,392,14,2127391.5,0.729149,603.447,37.6
