map_file,startposition,route_length_m,turns,uturns,E_gesamt_J,scanned_forest_rate,duration_sec,temp_mean_C
map_random_1.json,0,113101.29,988,52,2659828.3,0.381335,1034.996,38.1
map_random_1.json,1,114240.55,993,46,2684727.2,0.385945,1093.363,38.6
map_random_1.json,2,117149.15,980,44,2746241.4,0.373987,1106.581,37.8
map_random_1.json,3,110022.1,952,53,2586311.1,0.374974,908.754,37.8
map_random_1.json,4,109088.35,948,50,2564613.7,0.388743,1074.5,37.8
map_random_2.json,0,108901.8,960,48,2562159.7,0.394039,939.636,38.1
map_random_2.json,1,110185.77,892,40,2577867.0,0.384481,1017.082,38.65
map_random_2.json,2,106719.23,863,36,2496158.1,0.388161,934.135,38.6
map_random_2.json,3,113125.77,937,46,2650962.0,0.385503,1046.702,38.6
map_random_2.json,4,113042.17,990,51,2658692.7,0.378041,1113.362,37.55
map_random_3.json,0,111896.14,918,41,2619950.0,0.381725,1075.903,37.85
map_random_3.json,1,111725.85,891,41,2611748.8,0.393534,1066.889,38.35
map_random_3.json,2,107157.9,906,43,2514058.9,0.395729,948.471,38.6
map_random_3.json,3,115315.26,926,37,2695830.6,0.390115,1156.967,38.1
map_random_3.json,4,113458.27,889,36,2648707.0,0.394898,1116.061,38.35
map_californien.json,0,36186.46,168,6,824812.1,0.266417,89.047,37.6
map_californien.json,1,36561.23,183,6,835532.1,0.24251,84.076,37.6
map_californien.json,2,35094.18,161,8,799957.0,0.266743,82.829,37.6
map_californien.json,3,30955.8,169,9,710397.6,0.281734,83.321,37.6
map_californien.json,4,30883.37,169,9,708804.2,0.282454,84.87,37.8
map_elk_fire_Colorado.json,0,86810.35,427,20,1983582.7,0.63301,214.066,38.1
map_elk_fire_Colorado.json,1,84259.77,402,18,1923014.9,0.67449,220.617,38.1
map_elk_fire_Colorado.json,2,88158.22,411,27,2011750.8,0.61953,218.884,38.4
map_elk_fire_Colorado.json,3,87706.97,405,28,2000998.3,0.618997,224.398,37.55
map_elk_fire_Colorado.json,4,89272.85,414,26,2036602.6,0.616141,229.664,37.55
map_havel.json,0,142973.58,507,19,3232208.7,0.902756,679.687,38.35
map_havel.json,1,131077.04,397,13,2951344.9,0.900708,596.342,37.55
map_havel.json,2,132007.4,393,22,2972637.9,0.882753,641.248,37.05
map_havel.json,3,129601.89,419,21,2923841.6,0.887023,584.59,38.35
map_havel.json,4,130004.84,405,12,2928911.4,0.87531,604.134,37.6
map_Kreta_1.json,0,127901.15,398,19,2882630.3,0.8203,461.933,37.6
map_Kreta_1.json,1,130632.4,417,14,2945027.8,0.799035,466.672,37.3
map_Kreta_1.json,2,123499.47,409,12,2786453.2,0.794126,443.006,37.55
map_Kreta_1.json,3,135995.49,465,17,3071430.7,0.767998,485.805,38.1
map_Kreta_1.json,4,132833.94,412,15,2992801.8,0.78301,490.197,38.4
map_Kreta_2.json,0,47659.98,195,11,1082509.6,0.498516,111.813,38.1
map_Kreta_2.json,1,45182.41,219,11,1031963.0,0.502227,115.549,38.35
map_Kreta_2.json,2,46432.48,226,9,1060289.6,0.480057,109.796,38.9
map_Kreta_2.json,3,43869.69,214,11,1002258.1,0.478079,109.954,38.6
map_Kreta_2.json,4,48270.13,247,9,1104182.8,0.535391,113.05,37.8
map_lee_fire_Colorado.json,0,133263.66,529,24,3023045.5,0.786927,353.012,37.05
map_lee_fire_Colorado.json,1,137510.87,555,24,3120774.0,0.778631,363.577,37.8
map_lee_fire_Colorado.json,2,135825.05,554,24,3083521.1,0.781541,347.94,38.35
map_lee_fire_Colorado.json,3,139399.31,567,24,3164299.9,0.788307,382.198,37.85
map_lee_fire_Colorado.json,4,140904.98,543,31,3194619.5,0.767722,354.844,38.1
map_Missen_Wilhams.json,0,93605.42,370,20,2123669.3,0.731644,389.528,38.35
map_Missen_Wilhams.json,1,88270.21,360,19,2004479.5,0.775313,392.92,38.9
map_Missen_Wilhams.json,2,95240.87,358,15,2156844.0,0.741524,415.984,38.1
map_Missen_Wilhams.json,3,92174.68,376,12,2091863.0,0.702199,408.349,37.6
map_Missen_Wilhams.json,4,94286.74,397,16,2142453.4,0.735947,406.339,37.05
