map_file,startposition,route_length_m,turns,uturns,E_gesamt_J,scanned_forest_rate,duration_sec,overlap_rate,overlap_rate_forest,temp_mean_C
map_random_1.json,0,154634.72,1040,8,3574883.9,0.282318,85.248,0.340564,0.287154,35.4
map_random_1.json,1,153999.57,1044,11,3562065.6,0.282311,85.069,0.335899,0.289066,35.15
map_random_1.json,2,155148.1,1033,7,3584858.2,0.285621,86.032,0.340651,0.299296,35.7
map_random_1.json,3,154656.92,1034,5,3573887.3,0.286552,83.087,0.342631,0.299288,36.75
map_random_1.json,4,157403.25,1007,12,3631006.5,0.284285,62.309,0.347798,0.29635,37.3
map_random_2.json,0,158748.62,1057,19,3670009.6,0.280076,85.262,0.343379,0.287063,37.3
map_random_2.json,1,165456.56,1099,20,3824679.3,0.281332,88.644,0.366549,0.292191,36.5
map_random_2.json,2,165687.51,1101,20,3830090.3,0.281393,88.724,0.369654,0.291171,36.5
map_random_2.json,3,165669.06,1088,20,3827539.2,0.281659,88.849,0.370399,0.291655,35.65
map_random_2.json,4,166119.42,1098,20,3839097.3,0.28207,86.57,0.372078,0.293517,35.4
map_random_3.json,0,157987.08,1030,19,3648800.7,0.297606,83.085,0.355871,0.319731,35.95
map_random_3.json,1,154606.34,1001,19,3569639.4,0.29572,85.189,0.351597,0.310434,35.7
map_random_3.json,2,158602.88,1033,19,3662843.4,0.29907,83.981,0.358912,0.323774,35.65
map_random_3.json,3,159630.53,1044,20,3687431.6,0.296758,84.574,0.362375,0.318438,35.7
map_random_3.json,4,159140.23,1031,22,3674830.1,0.294251,87.11,0.358063,0.313948,35.95
map_californien.json,0,69245.21,84,3,1537749.6,0.126598,57.096,0.216941,0.122916,35.95
map_californien.json,1,65062.27,84,3,1445724.9,0.124157,60.61,0.181399,0.103229,35.95
map_californien.json,2,66753.81,92,5,1484588.8,0.118963,58.046,0.17987,0.090778,35.4
map_californien.json,3,67423.22,94,2,1499150.9,0.117929,59.234,0.159545,0.102839,35.65
map_californien.json,4,67478.07,91,3,1500027.6,0.112505,57.26,0.160734,0.069039,35.65
map_elk_fire_Colorado.json,0,126035.58,122,6,2793902.7,0.353636,82.91,0.168621,0.240443,35.4
map_elk_fire_Colorado.json,1,126320.5,126,6,2800831.0,0.351608,82.333,0.170972,0.235054,35.4
map_elk_fire_Colorado.json,2,127316.16,120,6,2821745.6,0.358217,81.166,0.17212,0.278838,35.65
map_elk_fire_Colorado.json,3,126358.3,116,6,2800012.5,0.359183,81.531,0.167078,0.280056,35.65
map_elk_fire_Colorado.json,4,127460.5,121,5,2824921.0,0.362209,81.97,0.175279,0.305307,36.2
map_havel.json,0,129594.61,279,8,2898436.5,0.79401,90.87,0.182842,0.721182,36.2
map_havel.json,1,139192.33,270,6,3107771.2,0.758588,90.354,0.213581,0.675015,36.75
map_havel.json,2,135802.69,309,9,3040129.3,0.78942,91.733,0.213484,0.7572,37.6
map_havel.json,3,138884.53,272,7,3101494.7,0.758392,91.64,0.215347,0.67119,36.5
map_havel.json,4,139011.29,290,8,3107418.5,0.78265,91.924,0.232314,0.738236,36.2
map_Kreta_1.json,0,166117.98,139,9,3679015.7,0.585651,95.975,0.312657,0.449313,37.3
map_Kreta_1.json,1,166150.12,144,9,3680547.6,0.586288,95.298,0.312459,0.452381,37.3
map_Kreta_1.json,2,166427.76,137,9,3685500.8,0.576151,96.348,0.316295,0.420132,37.05
map_Kreta_1.json,3,151792.54,129,5,3361546.0,0.596913,94.438,0.261319,0.426426,36.75
map_Kreta_1.json,4,166696.0,142,8,3692061.9,0.573361,96.054,0.317621,0.414,36.45
map_Kreta_2.json,0,72473.67,68,2,1605970.7,0.244595,63.432,0.196459,0.17608,36.2
map_Kreta_2.json,1,72971.24,68,2,1616917.3,0.240395,63.126,0.203417,0.166798,36.5
map_Kreta_2.json,2,72005.21,72,2,1596324.6,0.242925,62.931,0.184951,0.185007,36.45
map_Kreta_2.json,3,72432.49,68,2,1605064.8,0.242385,62.308,0.188477,0.185549,35.95
map_Kreta_2.json,4,74775.35,77,3,1658257.8,0.232329,63.172,0.213827,0.154598,36.2
map_lee_fire_Colorado.json,0,129722.71,122,5,2874854.7,0.685006,94.945,0.106703,0.768507,36.5
map_lee_fire_Colorado.json,1,129968.23,126,5,2880916.0,0.685383,89.425,0.11048,0.768724,36.5
map_lee_fire_Colorado.json,2,134603.15,113,5,2980739.3,0.672082,90.509,0.138603,0.676145,36.5
map_lee_fire_Colorado.json,3,129418.45,118,5,2867500.9,0.682347,90.539,0.104571,0.740254,36.45
map_lee_fire_Colorado.json,4,134858.07,117,5,2987007.6,0.671519,93.443,0.142733,0.672061,35.95
map_Missen_Wilhams.json,0,127534.02,208,6,2841058.5,0.450585,81.764,0.223785,0.363265,36.2
map_Missen_Wilhams.json,1,126774.1,207,7,2824340.1,0.451473,81.74,0.218889,0.37058,36.2
map_Missen_Wilhams.json,2,128031.08,203,6,2851168.8,0.442918,80.586,0.218897,0.348592,36.75
map_Missen_Wilhams.json,3,128110.79,212,6,2854407.3,0.439009,84.357,0.22802,0.319031,37.6
map_Missen_Wilhams.json,4,125939.24,216,6,2807293.3,0.443061,81.44,0.225357,0.311784,36.5
